TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id = Wecklein1894_0007
# title = Sophokleus Aias
# author = Wecklein, Nikolaus
# publication_date = 1894
# publication_place = München
# page = 7
bald	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Spähe	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
Urheber	O	_	_	_	_	_	_	_	_
feſtzuſtellen	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Bedeutung	O	_	_	_	_	_	_	_	NoSpaceAfter
und	O	_	_	_	_	_	_	_	_
Zweck	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
That	O	_	_	_	_	_	_	_	_
auszukundſchaften	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Damit	O	_	_	_	_	_	_	_	_
beginnt	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Handlung	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Schon	O	_	_	_	_	_	_	_	_
bei	O	_	_	_	_	_	_	_	_
Homer	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	NoSpaceAfter
vgl.	O	_	_	_	_	_	_	_	_
beſonders	O	_	_	_	_	_	_	_	_
H	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
196	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
ff.	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
P	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
634	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
H	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
288	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
N	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
312	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
f.	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
)	O	_	_	_	_	_	_	_	_
find	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Grundzüge	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Charakteriſtik	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Helden	O	_	_	_	_	_	_	_	_
vorgezeichnet	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Bei	O	_	_	_	_	_	_	_	_
Sophokles	O	_	_	_	_	_	_	_	_
find	O	_	_	_	_	_	_	_	_
dieſe	O	_	_	_	_	_	_	_	_
Züge	O	_	_	_	_	_	_	_	_
zur	O	_	_	_	_	_	_	_	_
Entwicklung	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Kataſtrophe	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
zur	O	_	_	_	_	_	_	_	_
ethiſchen	O	_	_	_	_	_	_	_	_
Motivierung	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Untergangs	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
herrlichen	O	_	_	_	_	_	_	_	_
Mannes	O	_	_	_	_	_	_	_	_
geſteigert	O	_	_	_	_	_	_	_	_
einerſeits	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
eiferſüchtigem	O	_	_	_	_	_	_	_	_
Ehrgefühl	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
andrerſeits	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
Vermeſſenheit	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
ſtarrſinnigem	O	_	_	_	_	_	_	_	_
Troy	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
maßloſem	O	_	_	_	_	_	_	_	_
Selbſtgefühl	O	_	_	_	_	_	_	_	_
ohne	O	_	_	_	_	_	_	_	_
Sinn	O	_	_	_	_	_	_	_	_
für	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Schranken	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
menſchlichen	O	_	_	_	_	_	_	_	NoSpaceAfter
Daſeins	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Gottheit	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Mitwelt	O	_	_	_	_	_	_	_	_
ſetzt	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Dafür	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
Sophokles	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
Intereſſe	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
abzuſchwächen	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
Spröde	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Schroffe	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Charakters	O	_	_	_	_	_	_	_	_
durch	O	_	_	_	_	_	_	_	_
eine	O	_	_	_	_	_	_	_	_
liebenswürdige	O	_	_	_	_	_	_	_	NoSpaceAfter
Seite	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
zarte	O	_	_	_	_	_	_	_	_
Gefühle	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Zuneigung	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Freundſchaft	O	_	_	_	_	_	_	_	NoSpaceAfter
in	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
Verhältnis	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Aias	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
ſeiner	O	_	_	_	_	_	_	_	_
Gemahlin	O	_	_	_	_	_	_	_	_
Tekmeſſa	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
ſeinem	O	_	_	_	_	_	_	_	_
Sohn	O	_	_	_	_	_	_	_	_
Euryſakes	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
ſeinen	O	_	_	_	_	_	_	_	_
Mannen	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
ſeiner	O	_	_	_	_	_	_	_	_
Heimat	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
ſeinem	O	_	_	_	_	_	_	_	_
Vater	O	_	_	_	_	_	_	_	_
Telamon	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
ſeiner	O	_	_	_	_	_	_	_	_
Mutter	O	_	_	_	_	_	_	_	_
Eriböa	O	_	_	_	_	_	_	_	_
gemildert	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	EndOfLine
Eine	O	_	_	_	_	_	_	_	_
Homeriſche	O	_	_	_	_	_	_	_	_
Überlieferung	O	_	_	_	_	_	_	_	_
iſt	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Streit	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Waſſen	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Achilleus	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Tod	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Aias	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
Folge	O	_	_	_	_	_	_	_	_
dieſes	O	_	_	_	_	_	_	_	_
Streites	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	NoSpaceAfter
4	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
543	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
ff	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
.	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter
)	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	EndOfLine
Die	O	_	_	_	_	_	_	_	_
weitere	O	_	_	_	_	_	_	_	_
Ausſchmückung	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
nähere	O	_	_	_	_	_	_	_	_
Motivierung	O	_	_	_	_	_	_	_	_
dieſer	O	_	_	_	_	_	_	_	_
Sage	O	_	_	_	_	_	_	_	_
ſowie	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Selbſtmord	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Aias	O	_	_	_	_	_	_	_	_
ge	O	_	_	_	_	_	_	_	NoSpaceAfter
-	O	_	_	_	_	_	_	_	_
hören	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
nachhomeriſchen	O	_	_	_	_	_	_	_	_
Epos	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Nach	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Äthiopis	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Arktinos	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
Milet	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	NoSpaceAfter
um	O	_	_	_	_	_	_	_	_
770	O	_	_	_	_	_	_	_	_
v	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Chr.	O	_	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	_	_
entſteht	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
Kampf	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Leiche	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Achilleus	O	_	_	_	_	_	_	_	NoSpaceAfter
:	O	_	_	_	_	_	_	_	_
Aias	O	_	_	_	_	_	_	_	_
trägt	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Leiche	O	_	_	_	_	_	_	_	_
davon	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
während	O	_	_	_	_	_	_	_	_
Odyſſeus	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Feinde	O	_	_	_	_	_	_	_	_
abwehrt	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Nach	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
Leichenſpielen	O	_	_	_	_	_	_	_	_
werden	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Waſſen	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Achilleus	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
ſeiner	O	_	_	_	_	_	_	_	_
Mutter	O	_	_	_	_	_	_	_	_
Thetis	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
Preis	O	_	_	_	_	_	_	_	_
ausgeſetzt	O	_	_	_	_	_	_	_	NoSpaceAfter
;	O	_	_	_	_	_	_	_	_
Aias	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Odyſſeus	O	_	_	_	_	_	_	_	_
bewerben	O	_	_	_	_	_	_	_	_
ſich	O	_	_	_	_	_	_	_	_
darum	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Man	O	_	_	_	_	_	_	_	_
überträgt	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
mißliche	O	_	_	_	_	_	_	_	_
Entſcheidung	O	_	_	_	_	_	_	_	_
troiſchen	O	_	_	_	_	_	_	_	_
Kriegsgefangenen	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
angeben	O	_	_	_	_	_	_	_	_
ſollen	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
wer	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
beiden	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
Troianern	O	_	_	_	_	_	_	_	_
mehr	O	_	_	_	_	_	_	_	_
Unheil	O	_	_	_	_	_	_	_	_
zugefügt	O	_	_	_	_	_	_	_	_
habe	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Dieſe	O	_	_	_	_	_	_	_	_
nennen	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
Odyſjeus	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine
Der	O	_	_	_	_	_	_	_	_
gekränkte	O	_	_	_	_	_	_	_	NoSpaceAfter
Aias	O	_	_	_	_	_	_	_	_
zieht	O	_	_	_	_	_	_	_	_
ſich	O	_	_	_	_	_	_	_	_
zurück	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
erſticht	O	_	_	_	_	_	_	_	_
ſich	O	_	_	_	_	_	_	_	_
am	O	_	_	_	_	_	_	_	_
nächſten	O	_	_	_	_	_	_	_	_
Morgen	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
feinem	O	_	_	_	_	_	_	_	_
Schwerte	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	EndOfLine
In	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
„	O	_	_	_	_	_	_	_	NoSpaceAfter
kleinen	O	_	_	_	_	_	_	_	_
Ilias	O	_	_	_	_	_	_	_	NoSpaceAfter
“	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Lesches	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
Mytilene	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	NoSpaceAfter
um	O	_	_	_	_	_	_	_	_
660	O	_	_	_	_	_	_	_	_
v	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Chr.	O	_	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	_	_
belauſchen	O	_	_	_	_	_	_	_	_
Späher	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
bei	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
Streit	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Waffen	O	_	_	_	_	_	_	_	_
ausgeſchickt	O	_	_	_	_	_	_	_	_
werden	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
Urteil	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Troianer	O	_	_	_	_	_	_	_	_
