TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id = cu31924087948174_0035
# title = Sophocles
# author = Campbell, Lewis
# publication_date = 1881
# publication_place = Oxford
# page = 35
Hector	B-pers	_	B-pers.myth	_	_	O	Q159666	_	_
by	O	_	O	_	_	O	_	_	_
Achilles	B-pers	_	B-pers.myth	_	_	O	Q41746	_	_
before	O	_	O	_	_	O	_	_	_
death	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	_
Euripides	B-pers	_	B-pers.author	_	_	O	Q48305	_	_
also	O	_	O	_	_	O	_	_	_
assumes	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
has	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
all	O	_	O	_	_	O	_	_	_
probability	O	_	O	_	_	O	_	_	_
an	O	_	O	_	_	O	_	_	_
Epic	O	_	O	_	_	O	_	_	_
origin	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q11950683	_	_
is	O	_	O	_	_	O	_	_	_
fairly	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	_
credited	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
making	O	_	O	_	_	O	_	_	_
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	_
perform	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
last	O	_	O	_	_	O	_	_	_
act	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
presence	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Sun	B-pers	_	B-pers.myth	_	_	O	Q134270	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Pindar	B-pers	_	B-pers.author	_	_	O	Q134929	_	_
describes	O	_	O	_	_	O	_	_	_
it	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
at	O	_	O	_	_	O	_	_	_
dead	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
night	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
or	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Arctinus	B-pers	_	B-pers.author	_	_	O	Q554683	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
according	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Scholiast	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
Pind	B-pers	_	B-pers.author	_	_	O	Q134929	_	InPrimaryReference|NoSpaceAfter
.	I-pers	_	I-pers.author	_	_	O	Q134929	_	InPrimaryReference
Isthm	B-work	_	B-work.primlit	_	_	O	Q19175126	_	InPrimaryReference|NoSpaceAfter
.	I-work	_	I-work.primlit	_	_	O	Q19175126	_	InPrimaryReference
3	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter
.	I-scope	_	I-scope	_	_	O	_	_	InPrimaryReference
59)	I-scope	_	I-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|Partial--3:2
,	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
grey	O	_	O	_	_	O	_	_	_
dawn	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfLine
It	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
more	O	_	O	_	_	O	_	_	_
important	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
notice	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
what	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
evident	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
surface	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
play	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
that	O	_	O	_	_	O	_	_	_
for	O	_	O	_	_	O	_	_	_
dramatic	O	_	O	_	_	O	_	_	_
purposes	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
poet	O	_	O	_	_	O	_	_	_
sets	O	_	O	_	_	O	_	_	_
forth	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
same	O	_	O	_	_	O	_	_	_
action	O	_	O	_	_	O	_	_	_
from	O	_	O	_	_	O	_	_	_
various	O	_	O	_	_	O	_	_	_
points	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
view	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfLine
How	O	_	O	_	_	O	_	_	_
far	O	_	O	_	_	O	_	_	_
any	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
these	O	_	O	_	_	O	_	_	_
rest	O	_	O	_	_	O	_	_	_
upon	O	_	O	_	_	O	_	_	_
tradition	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
how	O	_	O	_	_	O	_	_	_
far	O	_	O	_	_	O	_	_	_
upon	O	_	O	_	_	O	_	_	_
invention	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
again	O	_	O	_	_	O	_	_	_
doubtful	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
though	O	_	O	_	_	O	_	_	_
we	O	_	O	_	_	O	_	_	_
are	O	_	O	_	_	O	_	_	_
naturally	O	_	O	_	_	O	_	_	_
tempted	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
assign	O	_	O	_	_	O	_	_	_
what	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
crude	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
primitive	O	_	O	_	_	O	_	_	_
legend	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q11950683	_	_
what	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
noblest	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
most	O	_	O	_	_	O	_	_	_
refined	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfLine
Thus	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
incident	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	_
slaughter	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
cattle	O	_	O	_	_	O	_	_	_
could	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
been	O	_	O	_	_	O	_	_	_
referred	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
invention	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q11950683	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
even	O	_	O	_	_	O	_	_	_
if	O	_	O	_	_	O	_	_	_
we	O	_	O	_	_	O	_	_	_
