orig_token	gold_transcript	levenshtein_norm	entity_fine_type	wikidata_id	frequency
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	pers.author		17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	17
0. R.	O. R.	0.2	pers.author		17
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
Aſch.	Äſch.	0.2	pers.author	http://www.wikidata.org/entity/Q40939	15
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
0. C.	O. C.	0.2	pers.author		12
0. C.	O. C.	0.2	pers.author		12
0. C.	O. C.	0.2	work.primlit	http://www.wikidata.org/entity/Q294001	12
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
Od.	Öd.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q35160	10
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	6
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	6
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	6
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	6
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	6
11.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	4
ll.	Il.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q8275	3
Ὁ. R.	O. R.	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	3
Alias	Aias	0.2	pers.myth	http://www.wikidata.org/entity/Q172725	3
Alias	Aias	0.2	pers.myth	http://www.wikidata.org/entity/Q172725	3
