orig_token	gold_transcript	levenshtein_norm	entity_fine_type	wikidata_id	frequency
Wander	Wunder	0.1666666666666666	pers.other	http://www.wikidata.org/entity/Q15438962	5
Wander	Wunder	0.1666666666666666	pers.author	http://www.wikidata.org/entity/Q15438962	5
Wander	Wunder	0.1666666666666666	pers.editor	http://www.wikidata.org/entity/Q15438962	5
Philoce,	Philoct.	0.25	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce,	Philoct.	0.25	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce.	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce,	Philoct.	0.25	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce.	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce,	Philoct.	0.25	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce.	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	4
Philoce.	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	4
QEd. Roi	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	3
OEd. Col,	OEd. Col.	0.1111111111111111	work.primlit	http://www.wikidata.org/entity/Q294001	3
Philoct,	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	3
OEd. Col,	OEd. Col.	0.1111111111111111	work.primlit	http://www.wikidata.org/entity/Q294001	3
Phil,	Phil.	0.2	work.primlit	http://www.wikidata.org/entity/Q1415903	3
Philoct,	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	3
Phil,	Phil.	0.2	work.primlit	http://www.wikidata.org/entity/Q1415903	3
OEd. Col,	OEd. Col.	0.1111111111111111	work.primlit	http://www.wikidata.org/entity/Q294001	3
QEd. Roi	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	3
QEd. Roi	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	3
Phil,	Phil.	0.2	work.primlit	http://www.wikidata.org/entity/Q1415903	3
Philoct,	Philoct.	0.125	work.primlit	http://www.wikidata.org/entity/Q1415903	3
Earipide	Euripide	0.125	pers.author	http://www.wikidata.org/entity/Q48305	2
“πεὶρ.	Antig.	0.8333333333333334	work.primlit	http://www.wikidata.org/entity/Q241077	2
Schncidewin	Schneidewin	0.0909090909090909	pers.other	http://www.wikidata.org/entity/Q70043	2
Sehneidewin	Schneidewin	0.0909090909090909	pers.other	http://www.wikidata.org/entity/Q70043	2
OEd. οὶ	OEd. Roi	0.375	work.primlit	http://www.wikidata.org/entity/Q148643	2
Sehneidewin	Schneidewin	0.0909090909090909	pers.other	http://www.wikidata.org/entity/Q70043	2
11.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	2
OEd. οὶ	OEd. Roi	0.375	work.primlit	http://www.wikidata.org/entity/Q148643	2
Trachin,	Trachin.	0.125	work.primlit	http://www.wikidata.org/entity/Q945342	2
OEd, Roi	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	2
Trachin,	Trachin.	0.125	work.primlit	http://www.wikidata.org/entity/Q945342	2
Mattbiæ	Matthiae	0.375	pers.other	http://www.wikidata.org/entity/Q4820726	2
ΟΕά. Roi	OEd. Roi	0.375	work.primlit	http://www.wikidata.org/entity/Q148643	2
“πεὶρ.	Antig.	0.8333333333333334	work.primlit	http://www.wikidata.org/entity/Q241077	2
Trach,	Trach.	0.1666666666666666	work.primlit	http://www.wikidata.org/entity/Q945342	2
QEdipe Roi	Oedipe Roi	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	2
Schncidewin	Schneidewin	0.0909090909090909	pers.other	http://www.wikidata.org/entity/Q70043	2
Trach,	Trach.	0.1666666666666666	work.primlit	http://www.wikidata.org/entity/Q945342	2
Mattbiæ	Matthiae	0.375	pers.author	http://www.wikidata.org/entity/Q4820726	2
11.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	2
OEd, Roi	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	2
QEdipe Roi	Oedipe Roi	0.2	work.primlit	http://www.wikidata.org/entity/Q148643	2
Earipide	Euripide	0.125	pers.author	http://www.wikidata.org/entity/Q48305	2
ΟΕά. Roi	OEd. Roi	0.375	work.primlit	http://www.wikidata.org/entity/Q148643	2
Libenias	Libanius	0.25	pers.author	http://www.wikidata.org/entity/Q263892	1
ιρεῖγο	Électre	1.0	work.primlit	http://www.wikidata.org/entity/Q733444	1
Encide	Énéide	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q60220	1
Atben.	Athen.	0.1666666666666666	pers.author	http://www.wikidata.org/entity/Q294923	1
Εἰ.	El.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q733444	1
ΟΕ 4. οὶ,	OEd. Roi	0.7777777777777778	work.primlit	http://www.wikidata.org/entity/Q148643	1
Ογαεία	Oreste	1.0	work.primlit	http://www.wikidata.org/entity/Q663886	1
ϑορδοεῖς	Sophocle	1.0	pers.author	http://www.wikidata.org/entity/Q11950683	1
Henri Estienue	Henri Estienne	0.0714285714285714	pers.author	http://www.wikidata.org/entity/Q664748	1
Ζίεριτο	Électre	1.0	work.primlit	http://www.wikidata.org/entity/Q733444	1
Μαϊμία	Matthiae	1.0	pers.author	http://www.wikidata.org/entity/Q4820726	1
Sehnei · dewin	Schneidewin	0.2857142857142857	pers.author	http://www.wikidata.org/entity/Q70043	1
ξι.	Él.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q733444	1
Δίοοι.	Elect.	0.8333333333333334	work.primlit	http://www.wikidata.org/entity/Q733444	1
El.	Él.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q733444	1
Anci- gone	Antigone	0.125	work.primlit	http://www.wikidata.org/entity/Q241077	1
Schaeïidewin	Schneidewin	0.1666666666666666	pers.other	http://www.wikidata.org/entity/Q70043	1
ϑεδπεῖ- dewin	Schneidewin	0.5454545454545454	pers.other	http://www.wikidata.org/entity/Q70043	1
7|.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	1
Εἰϊεπάι	Ellendt	1.0	pers.editor	http://www.wikidata.org/entity/Q18411800	1
ΥΤα:»-. der	Wunder	0.7	pers.other	http://www.wikidata.org/entity/Q15438962	1
Electre	Électre	0.1428571428571428	work.primlit	http://www.wikidata.org/entity/Q733444	1
[:dam	Isthm.	0.8333333333333334	work.primlit	http://www.wikidata.org/entity/Q19175126	1
ϑοδιποίἀοννίε	Schneidewin	1.0	pers.other	http://www.wikidata.org/entity/Q70043	1
Οκέμεε	Guêpes	1.0	work.primlit	http://www.wikidata.org/entity/Q1217552	1
Agamem- πον	Agamemnon	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q128176	1
ΟΕ 4. (οἱ.	OEd. Col.	0.7	work.primlit	http://www.wikidata.org/entity/Q148643	1
1.8 πιέπιο	Le même	0.9	pers.author	http://www.wikidata.org/entity/Q18411800	1
δοἰιπεϊάεν η	Schneidewin	1.0	pers.other	http://www.wikidata.org/entity/Q70043	1
OEd. Rot	OEd. Roi	0.125	work.primlit	http://www.wikidata.org/entity/Q148643	1
Athéua	Athéna	0.1666666666666666	pers.myth	http://www.wikidata.org/entity/Q37122	1
Lettres à Articus	Lettres à Atticus	0.0588235294117647	work.primlit	http://www.wikidata.org/entity/Q3237044	1
GEdipe & Colone	OEdipe à Colone	0.1333333333333333	work.primlit	http://www.wikidata.org/entity/Q294001	1
70.	Ib.	0.6666666666666666	work.primlit		1
ΡῬΙυΐωγασο	Plutarque	1.0	pers.author	http://www.wikidata.org/entity/Q41523	1
Meteor,	Meteor.	0.1428571428571428	work.primlit	http://www.wikidata.org/entity/Q2741164	1
