TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/sophokle1v3soph_0009.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = sophokle1v3soph_0009
# hipe2022:date = 1853-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophokles, erklärt
# ajmc:publication_place = Leipzig
# ajmc:publication_date = 1853
# ajmc:page = 9
# ajmc:author = Schneidewin, Friedrich Wilhelm
Der	O	_	O	_	_	O	_	_	_
Text	O	_	O	_	_	O	_	_	_
dieser	O	_	O	_	_	O	_	_	_
Ausgabe	O	_	O	_	_	O	_	_	_
ist	O	_	O	_	_	O	_	_	_
dem	O	_	O	_	_	O	_	_	_
Dindorfschen	O	_	O	_	_	O	_	_	_
ähnlicher	O	_	O	_	_	O	_	_	_
als	O	_	O	_	_	O	_	_	_
dem	O	_	O	_	_	O	_	_	_
Hermannschen	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Mir	O	_	O	_	_	O	_	_	_
lag	O	_	O	_	_	O	_	_	_
daran	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
bei	O	_	O	_	_	O	_	_	_
aller	O	_	O	_	_	O	_	_	_
gebührenden	O	_	O	_	_	O	_	_	NoSpaceAfter
Achtung	O	_	O	_	_	O	_	_	_
vor	O	_	O	_	_	O	_	_	_
dem	O	_	O	_	_	O	_	_	_
urkundlich	O	_	O	_	_	O	_	_	_
Ueberlieferten	O	_	O	_	_	O	_	_	_
einen	O	_	O	_	_	O	_	_	_
möglichst	O	_	O	_	_	O	_	_	NoSpaceAfter
wenig	O	_	O	_	_	O	_	_	_
Anstoss	O	_	O	_	_	O	_	_	_
gebenden	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Regel	O	_	O	_	_	O	_	_	_
verständlichen	O	_	O	_	_	O	_	_	_
Text	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
liefern	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Daher	O	_	O	_	_	O	_	_	_
hat	O	_	O	_	_	O	_	_	_
manche	O	_	O	_	_	O	_	_	_
Emendation	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
an	O	_	O	_	_	O	_	_	_
deren	O	_	O	_	_	O	_	_	_
unumstösslicher	O	_	O	_	_	O	_	_	_
Richtigkeit	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
zweifeln	O	_	O	_	_	O	_	_	_
liesse	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ohne	O	_	O	_	_	O	_	_	_
Bedenken	O	_	O	_	_	O	_	_	NoSpaceAfter
Aufnahme	O	_	O	_	_	O	_	_	_
gefunden	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Hoffentlich	O	_	O	_	_	O	_	_	_
wird	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Ueberzeugung	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
bei	O	_	O	_	_	O	_	_	_
mir	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
Tage	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
Tage	O	_	O	_	_	O	_	_	_
mehr	O	_	O	_	_	O	_	_	_
