TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0060.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0060
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
dont	O	_	O	_	_	O	_	_	_
parle	O	_	O	_	_	O	_	_	_
Sophocle	B-pers	_	B-pers.author	_	_	O	Q7235	_	LED0.00
n	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	NoSpaceAfter
ont	O	_	O	_	_	O	_	_	_
pas	O	_	O	_	_	O	_	_	_
troullé	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
Taison	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	LED0.00
;	O	_	O	_	_	O	_	_	_
clles	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
seulement	O	_	O	_	_	O	_	_	_
abusé	O	_	O	_	_	O	_	_	_
ses	O	_	O	_	_	O	_	_	_
yeux	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
ce	O	_	O	_	_	O	_	_	_
n	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
est	O	_	O	_	_	O	_	_	_
pas	O	_	O	_	_	O	_	_	_
lui	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
proprement	O	_	O	_	_	O	_	_	_
parler	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
c	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	NoSpaceAfter
est	O	_	O	_	_	O	_	_	_
sa	O	_	O	_	_	O	_	_	_
vue	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
mal	O	_	O	_	_	O	_	_	_
jugé	O	_	O	_	_	O	_	_	_
:	O	_	O	_	_	O	_	_	_
èn	O	_	O	_	_	O	_	_	_
ppuass	O	_	O	_	_	O	_	_	_
détermine	O	_	O	_	_	O	_	_	_
en	O	_	O	_	_	O	_	_	_
ce	O	_	O	_	_	O	_	_	_
sens	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
pensée	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
