TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = train_fi_1
# hipe2022:date = 1854-01-24
# hipe2022:language = fi
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-Finnish/train.tsv
# newseye:decade = 1854
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  Antiqua 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Lauantaina	O	_	O	_	_	O	_	_	_
Syyskuun	O	_	O	_	_	O	_	_	_
20	O	_	O	_	_	O	_	_	_
p:nä	O	_	O	_	_	O	_	_	NoSpaceAfter
UUSI	O	_	O	_	_	O	_	_	_
SUOMETAR	O	_	O	_	_	O	_	_	NoSpaceAfter
1913	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
N:o	O	_	O	_	_	O	_	_	_
219	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
7	O	_	O	_	_	O	_	_	NoSpaceAfter
Flyygeliä	O	_	O	_	_	O	_	_	_
ja	O	_	O	_	_	O	_	_	_
Pianiinoja	O	_	O	_	_	O	_	_	NoSpaceAfter
maailmankuuluisista	O	_	O	_	_	O	_	_	_
tehtaista	O	_	O	_	_	O	_	_	NoSpaceAfter
Rönisch	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Steinweg	O	_	O	_	_	O	_	_	_
&	O	_	O	_	_	O	_	_	_
Ritter	O	_	O	_	_	O	_	_	NoSpaceAfter
Amerikkalaisia	O	_	O	_	_	O	_	_	_
URKUHARMOONEJA	O	_	O	_	_	O	_	_	NoSpaceAfter
Estey	O	_	O	_	_	O	_	_	_
Organ	O	_	O	_	_	O	_	_	_
C:o	O	_	O	_	_	O	_	_	_
mainiota	O	_	O	_	_	O	_	_	_
tekoa	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
Huom	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	_
Luetteloja	O	_	O	_	_	O	_	_	_
vapaasti	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	NoSpaceAfter
Helsingin	O	_	O	_	_	O	_	_	_
Uusi	O	_	O	_	_	O	_	_	_
Musiikkikauppa	O	_	O	_	_	O	_	_	NoSpaceAfter
K	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
G	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
FAZER	O	_	O	_	_	O	_	_	NoSpaceAfter
Aleksanterink	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
38	O	_	O	_	_	O	_	_	NoSpaceAfter
