TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = train_sv_1
# hipe2022:date = 1898-01-22
# hipe2022:language = sv
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-Swedish/train.tsv
# newseye:decade = 1898
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  Antiqua 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Lördagen	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
22	O	_	O	_	_	O	_	_	_
Januari	O	_	O	_	_	O	_	_	NoSpaceAfter
HUFVUDSTADSBLADET	O	_	O	_	_	O	_	_	NoSpaceAfter
1898	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
N:o	O	_	O	_	_	O	_	_	_
20	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
3	O	_	O	_	_	O	_	_	NoSpaceAfter
vid	O	_	O	_	_	O	_	_	_
laudtdagen	O	_	O	_	_	O	_	_	_
1897	O	_	O	_	_	O	_	_	_
äskade	O	_	O	_	_	O	_	_	_
ansla	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
gen	O	_	O	_	_	O	_	_	_
och	O	_	O	_	_	O	_	_	_
utvägarna	O	_	O	_	_	O	_	_	_
för	O	_	O	_	_	O	_	_	_
deras	O	_	O	_	_	O	_	_	_
bestri	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
dande	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
—	O	_	O	_	_	O	_	_	_
Direkt	O	_	O	_	_	O	_	_	_
trafik	O	_	O	_	_	O	_	_	_
mellan	O	_	O	_	_	O	_	_	_
ty	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
ska	O	_	O	_	_	O	_	_	_
och	O	_	O	_	_	O	_	_	_
finska	O	_	O	_	_	O	_	_	_
järnvägarna	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
I	O	_	O	_	_	O	_	_	_
skritvelse	O	_	O	_	_	O	_	_	_
at	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
12	O	_	O	_	_	O	_	_	_
sistlidne	O	_	O	_	_	O	_	_	_
sep	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
tember	O	_	O	_	_	O	_	_	_
meddelade	O	_	O	_	_	O	_	_	_
ryska	O	_	O	_	_	O	_	_	_
järnvägs	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
departementet	O	_	O	_	_	O	_	_	_
järnvägsstyrelsen	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
att	O	_	O	_	_	O	_	_	NoSpaceAfter
å	O	_	O	_	_	O	_	_	_
