TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = 10266_Poole1860
# hipe2022:date = 1860-08-23
# hipe2022:language = en
# hipe2022:dataset = topres19th
# hipe2022:split = train
# hipe2022:converter_version = v2022-02-04
# hipe2022:document_type = newspaper
# hipe2022:original_source = train/annotated_tsv/10266_Poole1860.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NEL-LIT MISC
# topres19th:dataset_doi = https://doi.org/10.23636/b1c4-py78
# topres19th:version = v2
# topres19th:original_license = CC-BY-NC-SA 4.0
# topres19th:fname = 10266_Poole1860
# topres19th:issue_date = 1860-08-23
# topres19th:decade = 1860
# topres19th:ocr_quality_mean = 0.8958
# topres19th:ocr_quality_sd = 0.1439
# topres19th:word_count = 153
# topres19th:publication_title = The Poole and South-Western Herald, etc.
# topres19th:place_publication = Poole
AUSTRALIA	B-LOC	_	_	_	_	_	Q408	_	
AND	O	_	_	_	_	_	_	_	
NEW	B-LOC	_	_	_	_	_	Q664	_	
ZEALAND	I-LOC	_	_	_	_	_	Q664	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
NOTICE	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
—	O	_	_	_	_	_	_	_	NoSpaceAfter
The	O	_	_	_	_	_	_	_	
dipper	O	_	_	_	_	_	_	_	
ships	O	_	_	_	_	_	_	_	
of	O	_	_	_	_	_	_	_	
this	O	_	_	_	_	_	_	_	
line	O	_	_	_	_	_	_	_	
are	O	_	_	_	_	_	_	_	
4111101191	O	_	_	_	_	_	_	_	
i	O	_	_	_	_	_	_	_	
Me	O	_	_	_	_	_	_	_	
largest	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	
fastest	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	
and	O	_	_	_	_	_	_	_	
handsomest	O	_	_	_	_	_	_	_	
in	O	_	_	_	_	_	_	_	
the	O	_	_	_	_	_	_	_	
world	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	
and	O	_	_	_	_	_	_	_	
are	O	_	_	_	_	_	_	_	
famous	O	_	_	_	_	_	_	_	
for	O	_	_	_	_	_	_	_	
their	O	_	_	_	_	_	_	_	
unswerving	O	_	_	_	_	_	_	_	
punctuality	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	
the	O	_	_	_	_	_	_	_	
superior	O	_	_	_	_	_	_	_	
way	O	_	_	_	_	_	_	_	
in	O	_	_	_	_	_	_	_	
which	O	_	_	_	_	_	_	_	
they	O	_	_	_	_	_	_	_	
are	O	_	_	_	_	_	_	_	
officered	O	_	_	_	_	_	_	_	
and	O	_	_	_	_	_	_	_	
appointed	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	
and	O	_	_	_	_	_	_	_	
the	O	_	_	_	_	_	_	_	
celebrity	O	_	_	_	_	_	_	_	
of	O	_	_	_	_	_	_	_	
their	O	_	_	_	_	_	_	_	
